Russian,English
народ,people
народный,People's
настоящий,real
наука,the science
научиться,learn to
научный,scientific
находиться,be
начало,Start
начальник,Chief
начать,to begin
начаться,Start
начинать,start off
начинаться,start off
наш,our
не,Not
нёбо,sky
небольшой,small
недавно,recently
неделя,a week
некоторый,some
нельзя,it is forbidden
немецкий,German
немного,A little
неожиданно,suddenly
несколько,some
нести,carry
нет,No
неужели,Really
нечего,nothing
ни,Neither
никак,no way
никакой,no
никогда,never
никто,nobody
ничто,nothing
но,but
новый,new
нога,leg
номер,room
нос,nose
ночь,night
нравиться,like
ну,well
нужно,need to
нужный,the right one
нынче,Today
о,O
о / об / обо,O / O / about
оба,both
обед,dinner
область,region
образ,image
образование,education
обратиться,Turn
общественный,public
общество,society
общий,general
объяснить,explain
обычно,usually
обязательно,Necessarily
обязательство,obligation
огонь,fire
огромный,huge
один,one
однажды,once
однако,however
оказаться,be
окно,window
около,about
он,He
она,she
они,They
оно,it
опыт,experience
опять,again
организация,organization
особенно,especially
особый,special
оставаться,stay
оставить,leave
остальной,The rest
остановиться,stay
остаться,stay
от,from
ответ,answer
ответить,answer
отвечать,answer
отдать,Give
отдел,Department
отец,father
открытие,opening
открытый,open
открыть,open
откуда,where
отношение,attitude
отряд,detachment
очень,Very
очередь,queue
п,P
палец,finger
пальто,coat
память,memory
папа,dad
парень,boy
пароход,steamer
парта,desk
партийный,party
партия,the consignment
пауза,pause
первый,the first
перед,before
передать,hand over
передача,broadcast
перестать,stop
песня,song
петь,sing
пионер,pioneer
пионерский,Pioneer
писать,write
письмо,letter
пить,drink
плакат,poster
план,plan
платок,handkerchief
пленум,Plenum
плечо,shoulder
плохо,bad
плохой,bad
площадка,area
площадь,square
по,on
победа,victory
поговорить,talk
под,under
подарок,present
подниматься,get up
поднять,Raise
подняться,rise
подойти,come up
подумать,Think
подходить,suit
поезд,train
поехать,Go
пожалуй,perhaps
пожалуйста,Please
познакомиться,познакомиться
пойти,Go
пока,bye
показать,show
показаться,appear
показывать,show
пол,floor
поле,field
полный,full
половина,half
положение,position
положить,put
получать,receive
получить,get
получиться,Get it
помнить,remember
помогать,to help
помочь,help
помощник,assistant
помощь,help
понимать,understand
понравиться,Like it
понять,understand
попасть,To get
попробовать,Try
попросить,Ask
пора,It's time
портрет,portrait
порядок,order
после,after
последний,last
послушать,listen
посмотреть,look
поставить,put
поступить,to do
поступок,Act
потом,after
потому,That's why
поход,campaign
похожий,similar
почему,why
почти,almost
поэтому,so
появиться,to appear
правда,truth
правильно,right
правительство,government
право,right
праздник,holiday
предложить,offer
предприятие,company
председатель,Chairman
представить,introduce
прежде,Before
прежний,former
прекрасный,beautiful
при,at
придумать,come up with
приехать,come
прийти,Come
прийтись,come
пример,example
принести,bring
принимать,accept
принять,accept
природа,nature
приходить,come
приходиться,To have
про,pro
провести,conduct
проводить,conduct
продолжать,continue
продукция,Products
произведение,work
производственный,industrial
производство,production
произойти,happen
пройти,pass the
просить,ask
просто,Just
простой,simple
против,vs
профессия,profession
проходить,pass
прочитать,Read
прошлый,last
прямо,straight
птица,bird
пусть,let
путь,way
пытаться,try
пятнадцать,fifteen
пятый,fifth
пять,five
пятьдесят,fifty
р,R
работа,Job
работать,work
работник,worker
рабочий,worker
равно,equals
радость,joy
раз,once
разве,Is it
развитие,development
разговаривать,talk
разговор,talk
различный,different
разный,different
район,area
раньше,earlier
рассказ,story
рассказать,tell
рассказывать,tell
расти,grow
ребёнок,child
ребята,Guys
редакция,editors
результат,result
река,river
республика,republic
речь,speech
решение,solution
решить,decide
рисунок,drawing
родина,Homeland
родной,native
рост,height
рубль,ruble
рука,hand
руководитель,supervisor
русский,Russian
рыба,fish
ряд,row
рядом,near
с,With
с / со,C / C.
сад,garden
садиться,sit down
сам,myself
самолёт,airplane
самый,most
сбор,collection
свет,light
светлый,light coloured
свободный,free
свой,mine
связь,connection
сделанный,made
сделать,do
себя,myself
сегодня,Today
седьмой,seventh
сей,this
сейчас,Now
секретарь,secretary
секунда,second
село,village
семилетка,Seven -year -old
семь,seven
семья,family
сердце,heart
серый,Gray
серьёзный,serious
сесть,Sit down
сидеть,sit
сила,force
сильный,strong
синий,blue
сказать,say
сколько,How many
скорее,quicker
скоро,soon
следить,track
следовать,follow
следующий,next
слесарь,locksmith
слишком,too much
словно,Like
слово,word
сложный,complicated
случай,happening
случиться,happen
слушать,listen
слышать,hear
смена,change
смеяться,laugh
смотреть,look
смочь,Small
сначала,at first
снег,snow
снова,again
снять,take off
собака,dog
собирать,gather
собираться,going to
собрание,meeting
собрать,Collect
собраться,Gather
собственный,own
совершенно,Absolutely
совет,advice
советский,Soviet
совсем,at all
совхоз,state farm
согласиться,agree
сожаление,regret
созданный,created
создать,create
солдат,soldier
солнце,Sun
сообщить,to report
соревнование,competition
сорок,fourty
сосед,neighbour
состояться,take place
сотня,a hundred
социалистический,socialist
союз,Union
спасибо,Thank you
спать,sleep
специальный,special
спина,back
спокойно,calmly
спорт,sport
спортивный,sports
спортсмен,athlete
спрашивать,ask
спросить,ask
сразу,straightaway
среди,among
средний,average
ставить,put
становиться,become
станок,machine
станция,station
стараться,try
старик,old man
старший,senior
старый,old
стать,become
статья,article
стекло,glass
стена,wall
стих,poem
сто,one hundred
стоить,cost
стол,table
столовая,dining room
столько,so many
сторона,side
стоять,stand
страна,a country
страница,page
строитель,builder
строительный,building
строительство,building
строить,build
стройка,construction
студент,student
суд,court
судно,vessel
судьба,fate
сцена,scene
счастливый,happy
счастье,happiness
счёт,check
считать,think
съезд,Congress
сын,a son
сюда,here
т,t
так,So
также,same
такой,such
там,there
твой,your
творчество,creation
театр,theatre
телефон,telephone
тема,theme
тёмный,dark
теперь,now
тёплый,warm
тётя,aunt
техника,technique
технический,technical
тихий,quiet
тихо,quiet
товарищ,comrade
тогда,Then
тоже,too
только,only
тонкий,thin
тонна,ton
торжественный,solemn
тот,that
точно,Exactly
трава,grass
трактор,tractor
требовать,demand
третий,the third
три,three
тридцать,thirty
трубка,a tube
труд,work
трудиться,work
трудно,difficult
трудный,difficult
трудовой,labor
трудящийся,working
туда,there
тут,here
ты,You
тысяча,thousand
тяжёлый,heavy
у,u
у,u
увидеть,see
угол,corner
удаться,A success
удивиться,surprise
уехать,Leave
уж,Oh
уже,already
узкий,narrow
узнать,to know
уйти,Leave
улица,Street
улыбка,smile
улыбнуться,Smile
уметь,be able to
университет,University
урок,lesson
условие,condition
услышать,hear
успеть,be on time
успех,success
устроить,arrange
утро,morning
утром,in the morning
ухо,ear
уходить,leave
участие,participation
участник,participant
участок,site
учащийся,student
учёба,studies
ученик,student
учёный,scientist
училище,school
учитель,teacher
учительница,Teacher
учить,learn
учиться,study
ф,f
фабрика,factory
ферма,farm
форма,the form
фронт,front
х,X
характер,character
хвост,tail
хлеб,bread
ход,move
ходить,walk
хозяин,master
хозяйство,farm
холодный,cold
хороший,good
хорошо,Good
хотеть,to want
хотеться,want
хоть,though
хотя,although
художественный,art
художник,painter
ц,C.
цветок,flower
целый,whole
цель,target
центральный,central
цех,shop
цифра,number
ч,h
чай,tea
час,hour
часто,often
часть,Part
часы,watch
человек,human
человеческий,human
чем,how
через,through
чёрный,black
честный,fair
четвёртый,fourth
четыре,four
число,number
чистый,clean
читатель,reader
читать,read
член,member
что,What
чтобы / чтоб,To / so
чувство,feeling
чувствовать,feel
чужой,stranger
чуть,A little
ш,Sh
шаг,step
шестой,sixth
шесть,six
шестьдесят,sixty
широкий,wide
школа,school
школьник,schoolboy
школьный,school
шофёр,chauffeur
штаб,headquarters
шум,noise
э,e
этаж,floor
это,this is
этот,this
эх,eh
ю,Yu
юноша,young man
юный,young
я,I
я,I
являться,to be
язык,language
яркий,bright
ясно,It's clear
ящик,box
