,Russian,English
166,дежурный,duty
167,действительно,really
168,делать,do
169,дело,case
170,день,day
171,деньги,money
172,деревня,village
173,дерево,tree
174,держать,Keep
175,десяток,A dozen
176,десятый,tenth
177,десять,ten
178,деталь,detail
179,дети,children
180,детский,Children
181,директор,director
182,длинный,long
183,для,For
184,до,before
185,добиться,achieve
186,добрый,Kind
187,дождь,rain
188,доклад,report
189,доктор,doctor
190,долго,for a long time
191,должен,must
192,дом,house
193,дома,Houses
194,домой,home
195,дорога,road
196,дорогой,Expensive
197,доска,board
198,достать,Get out
199,друг,friend
200,другой,another
201,дружба,friendship
202,дружина,squad
203,думать,think
204,душа,soul
205,дядя,uncle
206,е,e
207,едва,barely
208,если,if
209,есть,eat
210,ехать,drive
211,ещё,more
212,ж,and
213,ждать,wait
214,же / ж,the same / w
215,железный,iron
216,жёлтый,yellow
217,жена,wife
218,женщина,woman
219,живой,alive
220,жизнь,life
221,жить,live
222,журнал,magazine
223,з,h
224,за,per
225,забыть,forget
226,завод,factory
227,завтра,tomorrow
228,заговорить,speak
229,задание,exercise
230,зайти,Come in
231,закон,law
232,закончить,finish
233,закричать,scream
234,зал,hall
235,заметить,notice
236,замечательный,wonderful
237,заниматься,study
238,занятие,class
239,затем,then
240,зачем,why
241,звать,call for
242,звонок,Call
243,звук,sound
244,здание,building
245,здесь,Here
246,здравствовать,Hello
247,зелёный,green
248,земля,Earth
249,зерно,corn
250,знакомый,familiar
251,знание,knowledge
252,знать,know
253,значить,to mean
254,золотой,gold
255,зуб,tooth
256,и,And
257,и,And
258,игра,a game
259,играть,play
260,идти,go
261,из / изо,from / art
262,известный,famous
263,из-за,due to
264,из-под,From under
265,или,or
266,именно,exactly
267,иметь,have
268,имя,name
269,иначе,otherwise
270,инженер,engineer
271,иногда,Sometimes
272,иной,Other
273,институт,Institute
274,интерес,interest
275,интересно,Interesting
276,интересный,interesting
277,искать,search
278,искусство,art
279,история,story
280,июль,July
281,к,to
282,к / ко,K / ko
283,кабинет,cabinet
284,каждый,every
285,казаться,seem
286,как,How
287,какой,which
288,камень,a rock
289,капитан,captain
290,карман,pocket
291,карта,map
292,картина,painting
293,квартира,apartment
294,килограмм,kilogram
295,километр,kilometer
296,кино,movie
297,класс,Class
298,клуб,club
299,книга,book
300,книжка,book
301,когда,when
302,"кое-где, кое-как, кое-какой, кое-когда, кое-кто, кое-что","In some places, somehow, some, some, some, some, something"
303,коллектив,team
304,колхоз,collective farm
305,колхозник,collective farmer
306,колхозный,collective farm
307,команда,command
308,командир,commander
309,комбайн,combine
310,комбинат,Combine
311,комитет,Committee
312,коммунизм,communism
313,коммунистический,communist
314,комната,room
315,комсомол,Komsomol
316,комсомольский,Komsomol
317,конец,end
318,конечно,certainly
319,концерт,concert
320,корабль,ship
321,коридор,corridor
322,корова,cow
323,короткий,short
324,костёр,bonfire
325,который,which
326,край,Territory
327,красивый,beautiful
328,красный,red
329,крепкий,strong
330,крепко,Strong
331,крикнуть,shout
332,кричать,scream
333,кровать,bed
334,кроме,except
335,кружок,circle
336,крупный,large
337,крыша,roof
338,кто,who
339,куда,Where
340,культура,Culture
341,купить,buy
342,курс,well
343,кусок,piece
344,кухня,kitchen
345,л,l
346,лагерь,camp
347,ладно,OK
348,лампа,lamp
349,лёгкий,light
350,легко,easily
351,лёд,ice
352,лежать,lie
353,лес,forest
354,лета,summer
355,лететь,fly
356,лето,summer
357,летом,in summer
358,ли / ль,Li / L.
359,линия,line
360,лист,sheet
361,литература,literature
362,лицо,face
363,личный,private
364,лишь,only
365,лоб,forehead
366,лодка,boat
367,лошадь,horse
368,луна,moon
369,лучше,better
370,лучший,best
371,любимый,Darling
372,любить,be in love
373,любовь,Love
374,любой,any
375,люди,people
376,м,m
377,маленький,little
378,мало,few
379,малый,small
380,мальчик,boy
381,мама,Mama
382,мастер,master
383,мастерская,workshop
384,материал,material
385,матрос,sailor
386,мать,mother
387,машина,car
388,медленно,slowly
389,между,between
390,мера,measure
391,место,place
392,месяц,month
393,металл,metal
394,метр,meter
395,мечта,dream
396,мечтать,dream
397,мешать,interfere
398,миллион,million
399,милый,cute
400,мимо,by
401,минута,minute
402,мир,world
403,мнение,opinion
404,многий,Many
405,много,a lot of
406,можно,can
407,мой,my
408,молодёжь,the youth
409,молодой,young
410,молоко,milk
411,молча,Silently
412,молчать,Silence
413,море,sea
414,морской,nautical
415,моряк,sailor
416,московский,Moscow
417,мочь,To be able
418,муж,husband
419,музыка,music
420,мы,We
421,мысль,thought
422,н,n
423,на,on
424,наверно,probably
425,наверное,maybe
426,над,above
427,надо,necessary
428,назад,back
429,назвать,Name
430,называться,To be called
431,найти,find
432,наконец,finally
433,написать,Write
434,например,For example
435,народ,people
436,народный,People's
437,настоящий,real
438,наука,the science
439,научиться,learn to
440,научный,scientific
441,находиться,be
442,начало,Start
443,начальник,Chief
444,начать,to begin
445,начаться,Start
446,начинать,start off
447,начинаться,start off
448,наш,our
449,не,Not
450,нёбо,sky
451,небольшой,small
452,недавно,recently
453,неделя,a week
454,некоторый,some
455,нельзя,it is forbidden
456,немецкий,German
457,немного,A little
458,неожиданно,suddenly
459,нести,carry
460,нет,No
461,неужели,Really
462,нечего,nothing
463,ни,Neither
464,никак,no way
465,никакой,no
466,никогда,never
467,никто,nobody
468,ничто,nothing
469,но,but
470,новый,new
471,нога,leg
472,номер,room
473,нос,nose
474,ночь,night
475,нравиться,like
476,ну,well
477,нужно,need to
478,нужный,the right one
479,нынче,Today
480,о,O
481,оба,both
482,обед,dinner
483,область,region
484,образ,image
485,образование,education
486,обратиться,Turn
487,общественный,public
488,общество,society
489,общий,general
490,объяснить,explain
491,обычно,usually
492,обязательно,Necessarily
493,обязательство,obligation
494,огонь,fire
495,огромный,huge
496,один,one
497,однажды,once
498,оказаться,be
499,окно,window
500,около,about
501,он,He
502,она,she
503,они,They
504,оно,it
505,опыт,experience
506,опять,again
507,организация,organization
508,особенно,especially
509,особый,special
510,оставаться,stay
511,оставить,leave
512,остальной,The rest
513,остаться,stay
514,от,from
515,ответ,answer
516,ответить,answer
517,отвечать,answer
518,отдать,Give
519,отдел,Department
520,отец,father
521,открытие,opening
522,открытый,open
523,открыть,open
524,откуда,where
525,отношение,attitude
526,отряд,detachment
527,очень,Very
528,очередь,queue
529,п,P
530,палец,finger
531,пальто,coat
532,память,memory
533,папа,dad
534,парень,boy
535,пароход,steamer
536,парта,desk
537,партийный,party
538,партия,the consignment
539,пауза,pause
540,первый,the first
541,перед,before
542,передать,hand over
543,передача,broadcast
544,перестать,stop
545,песня,song
546,пионер,pioneer
547,пионерский,Pioneer
548,писать,write
549,письмо,letter
550,пить,drink
551,плакат,poster
552,план,plan
553,платок,handkerchief
554,пленум,Plenum
555,плечо,shoulder
556,плохо,bad
557,плохой,bad
558,площадка,area
559,площадь,square
560,по,on
561,победа,victory
562,поговорить,talk
563,под,under
564,подарок,present
565,подниматься,get up
566,поднять,Raise
567,подняться,rise
568,подойти,come up
569,подумать,Think
570,подходить,suit
571,поезд,train
572,поехать,Go
573,пожалуй,perhaps
574,пожалуйста,Please
575,познакомиться,познакомиться
576,пойти,Go
577,пока,bye
578,показать,show
579,показаться,appear
580,показывать,show
581,пол,floor
582,поле,field
583,полный,full
584,половина,half
585,положение,position
586,положить,put
587,получать,receive
588,получить,get
589,получиться,Get it
590,помнить,remember
591,помогать,to help
592,помочь,help
593,помощник,assistant
594,помощь,help
595,понимать,understand
596,понравиться,Like it
597,попасть,To get
598,попробовать,Try
599,попросить,Ask
600,пора,It's time
601,портрет,portrait
602,порядок,order
603,после,after
604,последний,last
605,послушать,listen
606,посмотреть,look
607,поставить,put
608,поступить,to do
609,поступок,Act
610,потом,after
611,потому,That's why
612,поход,campaign
613,похожий,similar
614,почему,why
615,почти,almost
616,поэтому,so
617,появиться,to appear
618,правда,truth
619,правильно,right
620,правительство,government
621,право,right
622,праздник,holiday
623,предложить,offer
624,предприятие,company
625,председатель,Chairman
626,представить,introduce
627,прежде,Before
628,прежний,former
629,прекрасный,beautiful
630,при,at
631,придумать,come up with
632,приехать,come
633,прийтись,come
634,пример,example
635,принести,bring
636,принимать,accept
637,принять,accept
638,природа,nature
639,приходить,come
640,приходиться,To have
641,про,pro
642,провести,conduct
643,проводить,conduct
644,продолжать,continue
645,продукция,Products
646,произведение,work
647,производственный,industrial
648,производство,production
649,произойти,happen
650,пройти,pass the
651,просто,Just
652,простой,simple
653,против,vs
654,проходить,pass
655,прочитать,Read
656,прошлый,last
657,прямо,straight
658,птица,bird
659,пусть,let
660,путь,way
661,пытаться,try
662,пятнадцать,fifteen
663,пятый,fifth
664,пять,five
665,пятьдесят,fifty
666,р,R
667,работа,Job
668,работать,work
669,работник,worker
670,рабочий,worker
671,равно,equals
672,радость,joy
673,раз,once
674,разве,Is it
675,развитие,development
676,разговаривать,talk
677,разговор,talk
678,различный,different
679,разный,different
680,район,area
681,раньше,earlier
682,рассказать,tell
683,рассказывать,tell
684,расти,grow
685,ребёнок,child
686,ребята,Guys
687,редакция,editors
688,результат,result
689,река,river
690,республика,republic
691,речь,speech
692,решение,solution
693,решить,decide
694,рисунок,drawing
695,родина,Homeland
696,родной,native
697,рост,height
698,рубль,ruble
699,рука,hand
700,руководитель,supervisor
701,русский,Russian
702,рыба,fish
703,ряд,row
704,рядом,near
705,с,With
706,с / со,C / C.
707,сад,garden
708,садиться,sit down
709,сам,myself
710,самолёт,airplane
711,самый,most
712,сбор,collection
713,свет,light
714,светлый,light coloured
715,свободный,free
716,свой,mine
717,связь,connection
718,сделанный,made
719,сделать,do
720,себя,myself
721,сегодня,Today
722,седьмой,seventh
723,сей,this
724,сейчас,Now
725,секретарь,secretary
726,секунда,second
727,село,village
728,семилетка,Seven -year -old
729,семь,seven
730,семья,family
731,сердце,heart
732,серый,Gray
733,серьёзный,serious
734,сесть,Sit down
735,сила,force
736,сильный,strong
737,синий,blue
738,сказать,say
739,сколько,How many
740,скорее,quicker
741,скоро,soon
742,следить,track
743,следовать,follow
744,следующий,next
745,слесарь,locksmith
746,слишком,too much
747,словно,Like
748,слово,word
749,сложный,complicated
750,случай,happening
751,случиться,happen
752,слушать,listen
753,слышать,hear
754,смена,change
755,смеяться,laugh
756,смотреть,look
757,смочь,Small
758,сначала,at first
759,снег,snow
760,снова,again
761,снять,take off
762,собака,dog
763,собирать,gather
764,собираться,going to
765,собрание,meeting
766,собрать,Collect
767,собраться,Gather
768,собственный,own
769,совершенно,Absolutely
770,совет,advice
771,советский,Soviet
772,совсем,at all
773,совхоз,state farm
774,согласиться,agree
775,сожаление,regret
776,созданный,created
777,создать,create
778,солдат,soldier
779,солнце,Sun
780,сообщить,to report
781,соревнование,competition
782,сорок,fourty
783,сосед,neighbour
784,состояться,take place
785,сотня,a hundred
786,социалистический,socialist
787,союз,Union
788,спасибо,Thank you
789,спать,sleep
790,специальный,special
791,спина,back
792,спокойно,calmly
793,спорт,sport
794,спортивный,sports
795,спортсмен,athlete
796,спрашивать,ask
797,спросить,ask
798,сразу,straightaway
799,среди,among
800,средний,average
801,ставить,put
802,становиться,become
803,станок,machine
804,станция,station
805,стараться,try
806,старик,old man
807,старший,senior
808,старый,old
809,стать,become
810,статья,article
811,стекло,glass
812,стена,wall
813,стих,poem
814,сто,one hundred
815,стоить,cost
816,стол,table
817,столовая,dining room
818,столько,so many
819,сторона,side
820,стоять,stand
821,страна,a country
822,страница,page
823,строитель,builder
824,строительный,building
825,строительство,building
826,строить,build
827,стройка,construction
828,студент,student
829,суд,court
830,судно,vessel
831,судьба,fate
832,сцена,scene
833,счастливый,happy
834,счастье,happiness
835,счёт,check
836,считать,think
837,съезд,Congress
838,сын,a son
839,сюда,here
840,т,t
841,так,So
842,также,same
843,такой,such
844,там,there
845,твой,your
846,творчество,creation
847,театр,theatre
848,телефон,telephone
849,тема,theme
850,тёмный,dark
851,теперь,now
852,тёплый,warm
853,тётя,aunt
854,техника,technique
855,технический,technical
856,тихий,quiet
857,тихо,quiet
858,товарищ,comrade
859,тогда,Then
860,тоже,too
861,только,only
862,тонкий,thin
863,тонна,ton
864,торжественный,solemn
865,тот,that
866,точно,Exactly
867,трава,grass
868,трактор,tractor
869,требовать,demand
870,третий,the third
871,три,three
872,тридцать,thirty
873,трубка,a tube
874,труд,work
875,трудиться,work
876,трудно,difficult
877,трудный,difficult
878,трудовой,labor
879,трудящийся,working
880,туда,there
881,тут,here
882,ты,You
883,тысяча,thousand
884,тяжёлый,heavy
885,у,u
886,у,u
887,увидеть,see
888,угол,corner
889,удаться,A success
890,удивиться,surprise
891,уехать,Leave
892,уж,Oh
893,уже,already
894,узкий,narrow
895,узнать,to know
896,уйти,Leave
897,улица,Street
898,улыбка,smile
899,улыбнуться,Smile
900,уметь,be able to
901,университет,University
902,урок,lesson
903,условие,condition
904,услышать,hear
905,успеть,be on time
906,устроить,arrange
907,утро,morning
908,утром,in the morning
909,ухо,ear
910,уходить,leave
911,участие,participation
912,участник,participant
913,участок,site
914,учащийся,student
915,учёба,studies
916,ученик,student
917,учёный,scientist
918,училище,school
919,учитель,teacher
920,учительница,Teacher
921,учить,learn
922,учиться,study
923,ф,f
924,фабрика,factory
925,форма,the form
926,фронт,front
927,х,X
928,характер,character
929,хвост,tail
930,хлеб,bread
931,ход,move
932,ходить,walk
933,хозяин,master
934,хозяйство,farm
935,холодный,cold
936,хороший,good
937,хорошо,Good
938,хотеть,to want
939,хотеться,want
940,хоть,though
941,хотя,although
942,художественный,art
943,художник,painter
944,ц,C.
945,цветок,flower
946,целый,whole
947,цель,target
948,центральный,central
949,цех,shop
950,цифра,number
951,ч,h
952,чай,tea
953,час,hour
954,часто,often
955,часть,Part
956,часы,watch
957,человек,human
958,человеческий,human
959,чем,how
960,через,through
961,чёрный,black
962,честный,fair
963,четвёртый,fourth
964,четыре,four
965,число,number
966,чистый,clean
967,читатель,reader
968,читать,read
969,член,member
970,что,What
971,чтобы / чтоб,To / so
972,чувство,feeling
973,чувствовать,feel
974,чужой,stranger
975,чуть,A little
976,ш,Sh
977,шаг,step
978,шестой,sixth
979,шесть,six
980,шестьдесят,sixty
981,широкий,wide
982,школа,school
983,школьник,schoolboy
984,шофёр,chauffeur
985,штаб,headquarters
986,шум,noise
987,э,e
988,это,this is
989,этот,this
990,эх,eh
991,ю,Yu
992,юноша,young man
993,юный,young
994,я,I
995,я,I
996,являться,to be
997,язык,language
998,яркий,bright
999,ясно,It's clear
1000,ящик,box
